Food,Ill_Ate,Well_Ate,Total_Ate,Percent_Ill_Ate,Ill_Not_Ate,Well_Not_Ate,Total_Not_Ate,Percent_Ill_Not_Ate
Ravioli,41,37,78,52.56410256410257,13,25,38,34.21052631578947
Broccoli,32,32,64,50.0,22,30,52,42.30769230769231
Cream Pasta,35,31,66,53.03030303030303,19,31,50,38.0
Mushrooms,30,28,58,51.724137931034484,24,34,58,41.37931034482759
Egg rolls,13,14,27,48.148148148148145,41,48,89,46.06741573033708
Beef,50,31,81,61.72839506172839,4,31,35,11.428571428571429
Cajun Sauce,17,13,30,56.666666666666664,37,49,86,43.02325581395349
Carrots,32,32,64,50.0,22,30,52,42.30769230769231
Potato,37,43,80,46.25,17,19,36,47.22222222222222
